지표,행 수 기준,고유 신고 기준,Suspect 한정(행),Suspect 한정(고유 신고)
전체 심각도 비율(%),24.2,19.72,23.06,19.71
전체 관측 수,90786.0,64517.0,74558.0,64476.0
심각 관측 수,21966.0,12720.0,17192.0,12711.0
[산업군] Dietary Conv Food/Meal Replacements,45.07,40.89,39.97,38.16
[산업군] Vit/Min/Prot/Unconv Diet(Human/Animal),34.77,30.91,36.43,32.13
[산업군] Baby Food Prod,26.19,24.87,25.24,24.67
[산업군] Food Additives (Human Use),22.12,21.68,21.33,20.8
[산업군] Fishery/Seafood Prod,20.03,18.78,19.89,18.87
[산업군] Coffee/Tea,19.95,19.5,17.17,16.8
[산업군] Filled Milk/Imit Milk Prod,16.44,16.14,16.67,16.36
[산업군] Cosmetics,13.98,14.7,14.02,14.65
"[산업군] Spices, Flavors And Salts",11.95,12.11,12.36,12.06
[산업군] Vegetable Oils,10.81,10.0,9.57,9.57
[브랜드군] HYDROXYCUT,37.54,37.98,37.39,37.92
[브랜드군] OXYELITE,57.59,57.59,57.59,57.59
