구분,항목,PPT/보고서 주장,기존 코드 재현값,개선 분석값,일치 여부,차이 원인
데이터 규모,전체 행 수,"90,786","90,786","90,786",일치,-
데이터 규모,고유 RA_Report #,(미기재),"64,517","64,517",해당없음,"보고서는 90,786만 '총 데이터 수'로 제시"
연령,영유아(0-5),"2,964","2,964","2,964",일치,환산 방식 개선에도 4구간 집계는 동일
연령,청소년(6-19),"3,007","3,007","3,007",일치,-
연령,성인(20-59),"26,045","26,045","26,045",일치,-
연령,노인(60+),"20,890","20,890","20,890",일치,-
연령,연속 환산값이 달라지는 행,(해당없음),0,"1,544",해당없음,"Day(s) 실제 환산, 주·월 절삭 제거. 구간 집계에는 영향 없음"
연령,스택바용 pd.cut 영유아,(그래프에만 사용),"2,007","2,964",불일치,"원본 cell13은 bins=[0,6,20,60,120] right=True → 0세 1,212행 누락, 경계 1칸 이동"
심각도,행 단위 serious 건수,(미기재),"21,966","21,966",해당없음,-
심각도,행 단위 serious 비율,(미기재),24.20%,19.72%,해당없음,개선값은 고유 신고 기준
심각도,전체 신고 중 심각 비율,43.9%,43.9%,24.20%,불일치,"43.9%는 도넛 분모(중복 합산 122,682)에서 산출. 병원방문 포함, 팀 자체 정의와 불일치"
산업군,Dietary Conv 심각비율,45.1%,45.07%,40.89%,일치,개선값은 고유 신고 기준
산업군,Vit/Min 심각비율,34.8%,34.77%,30.91%,일치,-
산업군,Cosmetics 심각비율,14.0%,13.98%,14.70%,일치,-
브랜드,OXYELITE PRO 행 수,(미기재),79,158,해당없음,개선값은 문자열 패턴 기반 브랜드군 통합 후
브랜드,OXYELITE PRO 심각 수,(미기재),47,91,해당없음,-
브랜드,OXYELITE PRO 심각비율,(미기재),59.5%,57.6%,해당없음,-
브랜드,HYDROXYCUT 행 수,(미기재),171,"1,300",해당없음,통합 시 7.6배
브랜드,HYDROXYCUT 심각 수,(미기재),94,488,해당없음,-
브랜드,HYDROXYCUT 심각비율,(미기재),55.0%,37.5%,불일치,브랜드군 통합 시 55.0% → 37.5%. 기존 값은 정확일치 171행만 반영
브랜드,이상치 탐지 로직,통계적 이상치 브랜드 발견,"없음(중앙값 보조선 + 하드코딩 라벨 6종, 산점도 육안 선별)",탐색적 IQR 비교에서도 두 사례는 상한 이하,불일치,코드에 탐지 알고리즘 부재. 보조 검증에서도 통계적 이상치에 해당하지 않음
외부검증,HYDROXYCUT 조치 연도 신고,(국내 보도자료 인용),2008년 19행 → 2009년 267행,최대치는 2011년 410행,부분 일치,조치 연도 급증은 확인되나 최대 신고 연도와는 불일치
외부검증,OXYELITE 조치 연도 신고,(국내 보도자료 인용),2012년 12행 → 2013년 100행,2013년이 최대 신고 연도,일치,FDA 조치 연도와 최대 신고 연도가 겹침
